STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LAC,WB_WDI_SL_UEM_TOTL_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Latin America & Caribbean (excluding high income),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,6.1915169401315024,6.2145481916605805,5.968151997088854,6.58753832638945,7.930176577743934,8.24140904744954,8.102770130170741,8.495163181682345,9.383897313369319,9.430239890368243,8.985149073642237,9.335859291514625,9.207206251060162,8.702520113369824,8.183399250369277,7.554972361575968,7.185609048077115,6.753075147870902,7.679860134951043,7.13684615492128,6.637681035191108,6.357840182958651,6.3372454148679545,6.112951706251681,6.650362884907497,7.764721517643978,8.06804526490034,7.949108847088405,8.0031866353429,10.11250583233347,9.087146682612229,6.838243119693634,6.064969955718749,5.727834801499095,5.286461218851595
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,DOM,WB_WDI_SL_UEM_TOTL_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Dominican Republic,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,6.863,6.669,6.322,6.285,6.439,6.485,6.323,6.304,6.312,6.432,7.262,6.779,6.938,6.303,6.587,5.654,5.158,4.764,5.467,5.212,6.087,6.722,7.351,6.719,7.605,7.284,5.832,5.861,6.356,6.126,7.702,5.504,5.555,5.312,5.092
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ECS,WB_WDI_SL_UEM_TOTL_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Europe & Central Asia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,6.899086804941626,7.503639878003111,8.657556170219548,9.651483593176994,9.931119022870403,10.268622803050606,10.51816122175632,10.692877438007192,10.585177367697947,9.684830919024177,9.056420067521302,9.078709208714553,9.113467441154725,9.056514252821415,8.731816581600297,8.17297527475334,7.246964389851742,7.168970786674972,9.058951873415763,9.117327667708567,8.851159261339903,9.070960349331493,9.26791651199215,8.945320512978094,8.558232488977737,8.078109567147806,7.485542266721305,6.876564978017856,6.62369460842729,7.095079406792263,6.900111210938824,5.846064109934601,5.552385264560952,5.372218179401812,5.359319885145287
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AUT,WB_WDI_SL_UEM_TOTL_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Austria,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.42,3.59,4.25,3.535,4.345,5.282,5.15,5.483,4.699,4.687,4.007,4.852,4.779,5.969,5.682,5.32,4.909,4.198,5.371,4.883,4.637,4.909,5.367,5.674,5.802,6.064,5.561,4.933,4.56,5.201,6.459,4.992,5.264,5.2,5.582
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_SL_UEM_TOTL_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Arab World,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,11.909757312141611,12.153691288405847,12.909745971662398,13.012183394793967,13.504920523926476,12.458594387798835,11.996360004158802,11.951998947675115,12.141053105853768,12.622723188826242,12.498202129830004,12.506227665576494,12.449696644403888,11.427116470007402,11.234411296675503,10.517642557673424,10.145678075721662,9.875159014430016,9.460792168620905,9.571788252474908,10.687395141460936,11.065096663200897,11.035001890953295,11.031926160850672,11.152446429200637,10.861716142941184,11.115201903205733,10.65464064520311,10.21371829109357,11.295150364666934,10.86274890866841,9.744130955999356,9.313388632049877,9.265924192652154,9.190172996143632
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BEL,WB_WDI_SL_UEM_TOTL_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Belgium,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,6.984,6.702,8.078,9.645,9.337,9.483,8.95,9.322,8.649,6.586,6.178,6.91,7.68,7.363,8.44,8.246,7.459,6.976,7.908,8.293,7.14,7.542,8.425,8.523,8.482,7.83,7.09,5.941,5.364,5.545,6.248,5.57,5.547,5.7,5.906
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,WSM,WB_WDI_SL_UEM_TOTL_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Samoa,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.1,2.439,2.689,2.999,3.244,3.515,3.78,4.127,4.489,4.733,4.96,4.975,5.038,5.162,5.212,5.321,5.425,5.538,5.646,5.621,5.68,8.752,8.772,8.72,8.901,9.063,9.4,8.649,7.858,7.467,6.664,5.048,4.92,4.855,4.996
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PRT,WB_WDI_SL_UEM_TOTL_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Portugal,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.919,3.985,5.301,6.709,7.064,7.298,6.571,4.64,4.579,3.806,3.829,4.497,6.132,6.319,7.582,7.649,7.965,7.553,9.432,10.771,12.715,15.509,16.237,13.88,12.405,11.058,8.878,6.966,6.422,6.85,6.712,6.138,6.498,6.5,6.164
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AGO,WB_WDI_SL_UEM_TOTL_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Angola,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,16.816,16.959,17.44,17.444,16.978,16.177,16.064,16.29,16.543,16.646,16.668,16.432,16.445,16.313,16.295,16.123,16.066,16.152,16.383,16.595,16.77,16.539,16.464,16.372,16.472,16.572,16.617,16.602,16.497,16.696,15.799,14.124,14.051,14.02,14.108
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,HTI,WB_WDI_SL_UEM_TOTL_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Haiti,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,7.329,7.387,7.534,7.858,7.51,7.304,7.003,7.165,7.2,8.443,9.728,11.008,12.151,13.415,14.559,15.866,16.8,16.204,15.398,15.244,14.506,14.1,13.704,13.808,13.785,13.902,13.932,13.934,14.095,15.573,15.296,14.54,14.459,14.609,14.944
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,DZA,WB_WDI_SL_UEM_TOTL_ZS,_T,_T,_T,PT_LF,_Z,_Z,_Z,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Algeria,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Total,All age ranges or no breakdown by age,Total,Percentage of labor force,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,20.6,24.38,26.23,27.74,31.84,28.268,25.43,26.85,28.575,29.77,27.3,25.9,23.72,17.65,15.27,12.27,13.79,11.33,10.16,9.96,9.96,10.97,9.82,10.207,11.206,10.202,12.0,12.112,12.302,14.08,13.656,12.382,11.645,11.655,11.633
